image,dataset,policy,verifier,prompt,N_gt,N_obs,N_supp,N_cons,precision,recall,f1,pool_recall,per_pass_pool_recall,cost,n_actions,seconds
carpk_00261,carpk,vlm,ioc+iom_only+ftile,car,119,121,109,120,,,,,,8.95,4,12.756
carpk_00262,carpk,vlm,ioc+iom_only+ftile,car,108,5,5,5,,,,,,3.95,4,8.558
carpk_00263,carpk,vlm,ioc+iom_only+ftile,car,75,14,13,14,,,,,,8.2,4,10.262
carpk_00264,carpk,vlm,ioc+iom_only+ftile,car,138,10,8,8,,,,,,6.2,4,9.125
carpk_00265,carpk,vlm,ioc+iom_only+ftile,car,112,0,0,0,,,,,,15.1,12,23.353
carpk_00266,carpk,vlm,ioc+iom_only+ftile,car,116,122,106,121,,,,,,8.95,4,11.353
carpk_00267,carpk,vlm,ioc+iom_only+ftile,car,85,20,19,20,,,,,,8.2,4,10.68
carpk_00268,carpk,vlm,ioc+iom_only+ftile,car,156,164,149,161,,,,,,8.95,4,10.63
carpk_00269,carpk,vlm,ioc+iom_only+ftile,car,116,123,111,118,,,,,,8.95,4,11.057
carpk_00270,carpk,vlm,ioc+iom_only+ftile,car,111,120,103,117,,,,,,8.95,4,11.008
carpk_00271,carpk,vlm,ioc+iom_only+ftile,car,116,120,110,119,,,,,,8.95,4,11.387
carpk_00272,carpk,vlm,ioc+iom_only+ftile,car,25,25,24,25,,,,,,8.2,4,12.392
carpk_00273,carpk,vlm,ioc+iom_only+ftile,car,109,116,101,115,,,,,,8.95,4,12.228
carpk_00274,carpk,vlm,ioc+iom_only+ftile,car,140,145,129,142,,,,,,8.95,4,10.85
carpk_00275,carpk,vlm,ioc+iom_only+ftile,car,104,1,1,1,,,,,,5.15,3,7.777
carpk_00276,carpk,vlm,ioc+iom_only+ftile,car,137,12,10,11,,,,,,7.45,4,9.435
carpk_00277,carpk,vlm,ioc+iom_only+ftile,car,182,190,164,187,,,,,,8.95,4,11.013
carpk_00278,carpk,vlm,ioc+iom_only+ftile,car,115,121,98,121,,,,,,8.95,4,11.224
carpk_00279,carpk,vlm,ioc+iom_only+ftile,car,142,14,12,14,,,,,,7.45,4,10.038
carpk_00280,carpk,vlm,ioc+iom_only+ftile,car,142,4,4,4,,,,,,5.45,4,8.458
carpk_00281,carpk,vlm,ioc+iom_only+ftile,car,116,20,18,17,,,,,,11.25,5,15.567
carpk_00282,carpk,vlm,ioc+iom_only+ftile,car,143,5,5,5,,,,,,3.95,4,8.3
carpk_00283,carpk,vlm,ioc+iom_only+ftile,car,73,26,23,24,,,,,,7.45,4,11.418
carpk_00284,carpk,vlm,ioc+iom_only+ftile,car,157,159,138,157,,,,,,8.95,4,10.903
carpk_00285,carpk,vlm,ioc+iom_only+ftile,car,19,19,18,19,,,,,,8.95,4,12.302
carpk_00286,carpk,vlm,ioc+iom_only+ftile,car,4,4,3,4,,,,,,8.95,4,10.707
carpk_00287,carpk,vlm,ioc+iom_only+ftile,car,116,122,107,118,,,,,,8.95,4,10.707
carpk_00288,carpk,vlm,ioc+iom_only+ftile,car,104,0,0,0,,,,,,13.85,12,22.324
carpk_00289,carpk,vlm,ioc+iom_only+ftile,car,111,119,104,116,,,,,,8.95,4,10.985
carpk_00290,carpk,vlm,ioc+iom_only+ftile,car,73,25,23,24,,,,,,7.45,4,10.045
carpk_00291,carpk,vlm,ioc+iom_only+ftile,car,112,119,99,117,,,,,,8.95,4,11.022
carpk_00292,carpk,vlm,ioc+iom_only+ftile,car,118,122,106,121,,,,,,8.95,4,10.961
carpk_00293,carpk,vlm,ioc+iom_only+ftile,car,154,3,2,3,,,,,,3.65,3,6.473
carpk_00294,carpk,vlm,ioc+iom_only+ftile,car,161,169,152,168,,,,,,8.95,4,10.809
carpk_00295,carpk,vlm,ioc+iom_only+ftile,car,108,4,4,4,,,,,,7.7,4,11.044
carpk_00296,carpk,vlm,ioc+iom_only+ftile,car,115,123,114,121,,,,,,8.95,4,10.584
carpk_00297,carpk,vlm,ioc+iom_only+ftile,car,119,18,18,18,,,,,,13.7,4,15.041
carpk_00298,carpk,vlm,ioc+iom_only+ftile,car,124,135,118,130,,,,,,8.95,4,10.925
carpk_00299,carpk,vlm,ioc+iom_only+ftile,car,80,21,21,21,,,,,,8.95,4,10.703
carpk_00300,carpk,vlm,ioc+iom_only+ftile,car,78,25,25,22,,,,,,12.25,5,15.58
carpk_00301,carpk,vlm,ioc+iom_only+ftile,car,107,27,25,26,,,,,,8.7,4,10.505
carpk_00302,carpk,vlm,ioc+iom_only+ftile,car,73,27,25,23,,,,,,7.45,4,9.809
carpk_00303,carpk,vlm,ioc+iom_only+ftile,car,85,21,20,20,,,,,,8.2,4,10.297
carpk_00304,carpk,vlm,ioc+iom_only+ftile,car,2,2,1,2,,,,,,8.65,3,9.454
carpk_00305,carpk,vlm,ioc+iom_only+ftile,car,126,23,18,23,,,,,,15.85,12,23.476
carpk_00306,carpk,vlm,ioc+iom_only+ftile,car,103,109,102,108,,,,,,8.95,4,11.006
carpk_00307,carpk,vlm,ioc+iom_only+ftile,car,115,128,113,121,,,,,,8.95,4,10.738
carpk_00308,carpk,vlm,ioc+iom_only+ftile,car,141,145,118,142,,,,,,8.95,4,10.844
carpk_00309,carpk,vlm,ioc+iom_only+ftile,car,73,24,22,23,,,,,,7.45,4,9.745
carpk_00310,carpk,vlm,ioc+iom_only+ftile,car,59,41,38,41,,,,,,7.45,4,9.837
carpk_00311,carpk,vlm,ioc+iom_only+ftile,car,30,32,31,31,,,,,,8.95,4,10.861
carpk_00312,carpk,vlm,ioc+iom_only+ftile,car,7,7,7,7,,,,,,8.95,4,10.682
carpk_00313,carpk,vlm,ioc+iom_only+ftile,car,111,118,109,115,,,,,,8.95,4,11.191
carpk_00314,carpk,vlm,ioc+iom_only+ftile,car,104,111,100,109,,,,,,8.95,4,10.695
carpk_00315,carpk,vlm,ioc+iom_only+ftile,car,146,6,6,6,,,,,,3.95,4,8.28
carpk_00316,carpk,vlm,ioc+iom_only+ftile,car,122,3,3,2,,,,,,4.4,3,6.583
carpk_00317,carpk,vlm,ioc+iom_only+ftile,car,91,8,8,8,,,,,,9.2,4,11.93
carpk_00318,carpk,vlm,ioc+iom_only+ftile,car,163,172,145,170,,,,,,8.95,4,11.187
carpk_00319,carpk,vlm,ioc+iom_only+ftile,car,116,119,105,119,,,,,,8.95,4,10.74
carpk_00320,carpk,vlm,ioc+iom_only+ftile,car,129,139,129,134,,,,,,8.95,4,10.843
carpk_00321,carpk,vlm,ioc+iom_only+ftile,car,140,145,137,143,,,,,,8.95,4,10.757
carpk_00322,carpk,vlm,ioc+iom_only+ftile,car,126,127,117,126,,,,,,8.95,4,10.931
carpk_00323,carpk,vlm,ioc+iom_only+ftile,car,149,160,137,159,,,,,,8.95,4,10.882
carpk_00324,carpk,vlm,ioc+iom_only+ftile,car,114,118,111,116,,,,,,8.95,4,10.826
carpk_00325,carpk,vlm,ioc+iom_only+ftile,car,111,1,1,1,,,,,,3.65,3,6.706
carpk_00326,carpk,vlm,ioc+iom_only+ftile,car,109,3,3,3,,,,,,7.15,3,8.964
carpk_00327,carpk,vlm,ioc+iom_only+ftile,car,78,38,35,38,,,,,,8.95,4,10.746
carpk_00328,carpk,vlm,ioc+iom_only+ftile,car,137,14,12,12,,,,,,12.25,5,15.476
carpk_00329,carpk,vlm,ioc+iom_only+ftile,car,74,25,22,25,,,,,,7.45,4,9.801
carpk_00330,carpk,vlm,ioc+iom_only+ftile,car,109,112,102,111,,,,,,8.95,4,10.524
carpk_00331,carpk,vlm,ioc+iom_only+ftile,car,114,118,114,117,,,,,,8.95,4,10.737
carpk_00332,carpk,vlm,ioc+iom_only+ftile,car,100,25,24,23,,,,,,8.7,4,10.312
carpk_00333,carpk,vlm,ioc+iom_only+ftile,car,150,159,135,155,,,,,,8.95,4,10.855
carpk_00334,carpk,vlm,ioc+iom_only+ftile,car,113,121,106,119,,,,,,8.95,4,10.771
carpk_00335,carpk,vlm,ioc+iom_only+ftile,car,117,121,114,119,,,,,,8.95,4,10.924
carpk_00336,carpk,vlm,ioc+iom_only+ftile,car,149,160,139,158,,,,,,8.95,4,11.109
carpk_00337,carpk,vlm,ioc+iom_only+ftile,car,115,29,23,28,,,,,,12.2,4,14.346
carpk_00338,carpk,vlm,ioc+iom_only+ftile,car,116,127,109,119,,,,,,8.95,4,11.279
carpk_00339,carpk,vlm,ioc+iom_only+ftile,car,154,163,137,161,,,,,,8.95,4,10.748
carpk_00340,carpk,vlm,ioc+iom_only+ftile,car,122,19,11,19,,,,,,8.95,4,10.584
carpk_00341,carpk,vlm,ioc+iom_only+ftile,car,117,123,114,119,,,,,,8.95,4,10.615
carpk_00342,carpk,vlm,ioc+iom_only+ftile,car,126,132,114,129,,,,,,8.95,4,11.137
carpk_00343,carpk,vlm,ioc+iom_only+ftile,car,86,1,1,1,,,,,,5.65,3,7.421
carpk_00344,carpk,vlm,ioc+iom_only+ftile,car,89,23,21,21,,,,,,9.2,4,10.891
carpk_00345,carpk,vlm,ioc+iom_only+ftile,car,138,144,116,142,,,,,,8.95,4,10.976
carpk_00346,carpk,vlm,ioc+iom_only+ftile,car,51,51,48,51,,,,,,8.2,4,10.332
carpk_00347,carpk,vlm,ioc+iom_only+ftile,car,148,5,5,5,,,,,,4.7,4,8.77
carpk_00348,carpk,vlm,ioc+iom_only+ftile,car,135,2,2,2,,,,,,4.65,3,6.923
carpk_00349,carpk,vlm,ioc+iom_only+ftile,car,112,5,5,5,,,,,,5.45,4,9.265
carpk_00350,carpk,vlm,ioc+iom_only+ftile,car,118,34,32,34,,,,,,7.45,4,9.838
carpk_00351,carpk,vlm,ioc+iom_only+ftile,car,130,140,123,134,,,,,,8.95,4,11.01
carpk_00352,carpk,vlm,ioc+iom_only+ftile,car,87,3,3,3,,,,,,6.15,3,8.364
carpk_00353,carpk,vlm,ioc+iom_only+ftile,car,133,146,136,139,,,,,,8.95,4,10.724
carpk_00354,carpk,vlm,ioc+iom_only+ftile,car,130,39,35,36,,,,,,21.25,5,21.992
carpk_00355,carpk,vlm,ioc+iom_only+ftile,car,86,1,1,1,,,,,,5.65,3,7.766
carpk_00356,carpk,vlm,ioc+iom_only+ftile,car,152,14,12,14,,,,,,16.6,12,27.38
carpk_00357,carpk,vlm,ioc+iom_only+ftile,car,110,117,108,115,,,,,,8.95,4,10.686
carpk_00358,carpk,vlm,ioc+iom_only+ftile,car,144,7,6,6,,,,,,3.95,4,8.339
carpk_00359,carpk,vlm,ioc+iom_only+ftile,car,107,2,2,2,,,,,,9.15,3,10.129
carpk_00360,carpk,vlm,ioc+iom_only+ftile,car,126,127,116,127,,,,,,8.95,4,10.889
carpk_00361,carpk,vlm,ioc+iom_only+ftile,car,115,120,112,119,,,,,,8.95,4,11.125
carpk_00362,carpk,vlm,ioc+iom_only+ftile,car,6,6,6,6,,,,,,8.95,4,10.594
carpk_00363,carpk,vlm,ioc+iom_only+ftile,car,54,33,31,32,,,,,,7.45,4,9.643
carpk_00364,carpk,vlm,ioc+iom_only+ftile,car,134,13,9,13,,,,,,7.45,4,9.868
carpk_00365,carpk,vlm,ioc+iom_only+ftile,car,114,22,17,19,,,,,,7.7,4,9.778
carpk_00366,carpk,vlm,ioc+iom_only+ftile,car,71,44,38,41,,,,,,8.95,4,10.76
carpk_00367,carpk,vlm,ioc+iom_only+ftile,car,67,32,30,30,,,,,,10.75,5,12.927
carpk_00368,carpk,vlm,ioc+iom_only+ftile,car,103,3,2,3,,,,,,5.15,3,7.535
carpk_00369,carpk,vlm,ioc+iom_only+ftile,car,141,143,135,141,,,,,,8.95,4,10.755
carpk_00370,carpk,vlm,ioc+iom_only+ftile,car,107,113,99,111,,,,,,8.95,4,11.035
carpk_00371,carpk,vlm,ioc+iom_only+ftile,car,117,128,111,122,,,,,,8.95,4,11.386
carpk_00372,carpk,vlm,ioc+iom_only+ftile,car,109,3,3,3,,,,,,4.15,3,6.951
carpk_00373,carpk,vlm,ioc+iom_only+ftile,car,110,111,103,111,,,,,,8.95,4,10.763
carpk_00374,carpk,vlm,ioc+iom_only+ftile,car,126,16,15,16,,,,,,15.2,4,16.299
carpk_00375,carpk,vlm,ioc+iom_only+ftile,car,108,114,100,111,,,,,,8.95,4,10.811
carpk_00376,carpk,vlm,ioc+iom_only+ftile,car,139,149,125,146,,,,,,8.95,4,10.889
carpk_00377,carpk,vlm,ioc+iom_only+ftile,car,88,1,1,1,,,,,,6.15,3,8.879
carpk_00378,carpk,vlm,ioc+iom_only+ftile,car,120,122,112,121,,,,,,8.95,4,10.86
carpk_00379,carpk,vlm,ioc+iom_only+ftile,car,103,8,7,8,,,,,,9.2,4,12.307
carpk_00380,carpk,vlm,ioc+iom_only+ftile,car,116,122,102,119,,,,,,8.95,4,10.997
carpk_00381,carpk,vlm,ioc+iom_only+ftile,car,54,56,55,55,,,,,,8.95,4,10.922
carpk_00382,carpk,vlm,ioc+iom_only+ftile,car,90,94,88,91,,,,,,8.95,4,10.769
carpk_00383,carpk,vlm,ioc+iom_only+ftile,car,149,4,3,4,,,,,,5.45,4,8.172
carpk_00384,carpk,vlm,ioc+iom_only+ftile,car,11,14,14,13,,,,,,8.95,4,10.942
carpk_00385,carpk,vlm,ioc+iom_only+ftile,car,69,25,24,24,,,,,,12.7,4,14.013
carpk_00386,carpk,vlm,ioc+iom_only+ftile,car,21,23,22,22,,,,,,8.95,4,10.881
carpk_00387,carpk,vlm,ioc+iom_only+ftile,car,107,110,100,109,,,,,,8.95,4,11.364
carpk_00388,carpk,vlm,ioc+iom_only+ftile,car,76,32,27,31,,,,,,7.45,4,9.657
carpk_00389,carpk,vlm,ioc+iom_only+ftile,car,153,156,135,156,,,,,,8.95,4,10.742
carpk_00390,carpk,vlm,ioc+iom_only+ftile,car,132,136,121,134,,,,,,8.95,4,11.325
carpk_00391,carpk,vlm,ioc+iom_only+ftile,car,125,139,122,135,,,,,,8.95,4,10.658
carpk_00392,carpk,vlm,ioc+iom_only+ftile,car,82,27,20,27,,,,,,7.45,4,10.401
carpk_00393,carpk,vlm,ioc+iom_only+ftile,car,121,48,46,48,,,,,,16.6,12,24.25
carpk_00394,carpk,vlm,ioc+iom_only+ftile,car,114,14,14,14,,,,,,12.2,4,13.938
carpk_00395,carpk,vlm,ioc+iom_only+ftile,car,97,17,12,16,,,,,,8.95,4,10.54
carpk_00396,carpk,vlm,ioc+iom_only+ftile,car,50,51,48,51,,,,,,9.7,4,11.427
carpk_00397,carpk,vlm,ioc+iom_only+ftile,car,82,26,22,25,,,,,,7.45,4,11.423
carpk_00398,carpk,vlm,ioc+iom_only+ftile,car,54,4,4,3,,,,,,9.95,4,12.553
carpk_00399,carpk,vlm,ioc+iom_only+ftile,car,23,24,24,24,,,,,,8.2,4,10.468
carpk_00400,carpk,vlm,ioc+iom_only+ftile,car,80,2,2,1,,,,,,6.4,3,7.752
carpk_00401,carpk,vlm,ioc+iom_only+ftile,car,73,26,26,24,,,,,,9.95,4,12.792
carpk_00402,carpk,vlm,ioc+iom_only+ftile,car,67,3,3,3,,,,,,7.65,3,12.438
carpk_00403,carpk,vlm,ioc+iom_only+ftile,car,138,9,9,7,,,,,,7.7,4,11.194
carpk_00404,carpk,vlm,ioc+iom_only+ftile,car,115,28,21,26,,,,,,8.2,4,10.09
carpk_00405,carpk,vlm,ioc+iom_only+ftile,car,117,127,103,124,,,,,,8.95,4,10.924
carpk_00406,carpk,vlm,ioc+iom_only+ftile,car,58,39,35,39,,,,,,7.45,4,10.14
carpk_00407,carpk,vlm,ioc+iom_only+ftile,car,115,120,109,118,,,,,,8.95,4,10.911
carpk_00408,carpk,vlm,ioc+iom_only+ftile,car,110,13,12,11,,,,,,6.25,5,12.207
carpk_00409,carpk,vlm,ioc+iom_only+ftile,car,143,8,7,6,,,,,,5.0,5,10.299
carpk_00410,carpk,vlm,ioc+iom_only+ftile,car,39,40,37,39,,,,,,9.7,4,11.16
carpk_00411,carpk,vlm,ioc+iom_only+ftile,car,116,120,108,119,,,,,,8.95,4,10.941
carpk_00412,carpk,vlm,ioc+iom_only+ftile,car,106,15,13,14,,,,,,9.2,4,12.079
carpk_00413,carpk,vlm,ioc+iom_only+ftile,car,113,124,110,120,,,,,,8.95,4,11.225
carpk_00414,carpk,vlm,ioc+iom_only+ftile,car,2,3,3,3,,,,,,8.65,3,9.424
carpk_00415,carpk,vlm,ioc+iom_only+ftile,car,19,20,20,20,,,,,,8.2,4,10.282
carpk_00416,carpk,vlm,ioc+iom_only+ftile,car,132,19,18,19,,,,,,12.2,4,13.983
carpk_00417,carpk,vlm,ioc+iom_only+ftile,car,73,25,25,22,,,,,,7.45,4,9.625
carpk_00418,carpk,vlm,ioc+iom_only+ftile,car,67,28,26,26,,,,,,11.8,6,14.75
carpk_00419,carpk,vlm,ioc+iom_only+ftile,car,150,166,151,160,,,,,,8.95,4,10.609
carpk_00420,carpk,vlm,ioc+iom_only+ftile,car,108,2,2,2,,,,,,8.15,3,9.76
carpk_00421,carpk,vlm,ioc+iom_only+ftile,car,107,2,2,2,,,,,,9.15,3,10.267
carpk_00422,carpk,vlm,ioc+iom_only+ftile,car,117,36,36,35,,,,,,15.85,12,22.943
carpk_00423,carpk,vlm,ioc+iom_only+ftile,car,25,25,25,25,,,,,,8.2,4,10.434
carpk_00424,carpk,vlm,ioc+iom_only+ftile,car,132,29,29,27,,,,,,23.25,5,23.24
carpk_00425,carpk,vlm,ioc+iom_only+ftile,car,74,26,24,25,,,,,,7.45,4,9.54
carpk_00426,carpk,vlm,ioc+iom_only+ftile,car,140,147,112,146,,,,,,8.95,4,10.659
carpk_00427,carpk,vlm,ioc+iom_only+ftile,car,73,29,28,29,,,,,,9.95,4,12.517
carpk_00428,carpk,vlm,ioc+iom_only+ftile,car,86,26,24,25,,,,,,7.45,4,9.541
carpk_00429,carpk,vlm,ioc+iom_only+ftile,car,137,146,127,145,,,,,,8.95,4,11.108
carpk_00430,carpk,vlm,ioc+iom_only+ftile,car,141,144,115,142,,,,,,8.95,4,10.755
carpk_00431,carpk,vlm,ioc+iom_only+ftile,car,113,118,98,113,,,,,,8.95,4,11.868
carpk_00432,carpk,vlm,ioc+iom_only+ftile,car,73,23,23,21,,,,,,7.45,4,9.738
carpk_00433,carpk,vlm,ioc+iom_only+ftile,car,139,147,124,146,,,,,,8.95,4,10.812
carpk_00434,carpk,vlm,ioc+iom_only+ftile,car,130,11,11,11,,,,,,13.7,4,15.049
carpk_00435,carpk,vlm,ioc+iom_only+ftile,car,108,116,99,113,,,,,,8.95,4,10.789
carpk_00436,carpk,vlm,ioc+iom_only+ftile,car,110,29,29,27,,,,,,16.7,4,17.393
carpk_00437,carpk,vlm,ioc+iom_only+ftile,car,85,25,23,24,,,,,,8.2,4,10.295
carpk_00438,carpk,vlm,ioc+iom_only+ftile,car,121,121,93,121,,,,,,8.95,4,10.774
carpk_00439,carpk,vlm,ioc+iom_only+ftile,car,113,121,104,119,,,,,,8.95,4,10.621
carpk_00440,carpk,vlm,ioc+iom_only+ftile,car,188,194,172,191,,,,,,8.95,4,10.89
carpk_00441,carpk,vlm,ioc+iom_only+ftile,car,118,1,1,1,,,,,,3.65,3,6.812
carpk_00442,carpk,vlm,ioc+iom_only+ftile,car,132,8,8,8,,,,,,7.7,4,10.969
carpk_00443,carpk,vlm,ioc+iom_only+ftile,car,95,14,13,12,,,,,,9.2,4,11.849
carpk_00444,carpk,vlm,ioc+iom_only+ftile,car,123,32,29,32,,,,,,15.85,12,24.004
carpk_00445,carpk,vlm,ioc+iom_only+ftile,car,77,27,25,26,,,,,,11.95,4,12.563
carpk_00446,carpk,vlm,ioc+iom_only+ftile,car,142,148,105,146,,,,,,8.95,4,10.683
carpk_00447,carpk,vlm,ioc+iom_only+ftile,car,73,2,2,2,,,,,,7.65,3,9.36
carpk_00448,carpk,vlm,ioc+iom_only+ftile,car,109,118,105,118,,,,,,8.95,4,10.918
carpk_00449,carpk,vlm,ioc+iom_only+ftile,car,138,147,130,143,,,,,,8.95,4,10.685
carpk_00450,carpk,vlm,ioc+iom_only+ftile,car,6,6,6,6,,,,,,8.95,4,10.586
carpk_00451,carpk,vlm,ioc+iom_only+ftile,car,59,63,55,63,,,,,,9.7,4,11.427
carpk_00452,carpk,vlm,ioc+iom_only+ftile,car,142,4,4,4,,,,,,6.2,4,9.797
carpk_00453,carpk,vlm,ioc+iom_only+ftile,car,135,16,10,15,,,,,,7.45,4,9.377
carpk_00454,carpk,vlm,ioc+iom_only+ftile,car,110,113,107,112,,,,,,8.95,4,10.941
carpk_00455,carpk,vlm,ioc+iom_only+ftile,car,151,154,137,152,,,,,,8.95,4,10.446
carpk_00456,carpk,vlm,ioc+iom_only+ftile,car,119,12,11,9,,,,,,9.2,4,11.596
carpk_00457,carpk,vlm,ioc+iom_only+ftile,car,154,154,142,154,,,,,,8.95,4,10.692
carpk_00458,carpk,vlm,ioc+iom_only+ftile,car,58,43,35,43,,,,,,7.45,4,9.962
carpk_00000,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,120,126,112,122,,,,,,9.0,5,13.029
carpk_00001,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,110,121,112,116,,,,,,7.95,4,10.596
carpk_00002,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,87,96,89,92,,,,,,7.95,4,10.244
carpk_00003,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,56,58,46,57,,,,,,7.95,4,10.361
carpk_00004,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,91,97,82,94,,,,,,7.95,4,10.64
carpk_00005,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,42,44,38,44,,,,,,7.95,4,10.661
carpk_00006,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,164,175,157,169,,,,,,7.95,4,10.744
carpk_00007,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,116,121,107,121,,,,,,7.95,4,10.732
carpk_00008,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,118,123,112,123,,,,,,7.95,4,10.472
carpk_00009,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,136,146,131,141,,,,,,7.95,4,10.829
carpk_00010,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,173,178,168,176,,,,,,7.95,4,10.553
carpk_00011,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,99,104,85,102,,,,,,7.95,4,10.701
carpk_00012,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,116,125,106,121,,,,,,7.95,4,10.54
carpk_00013,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,24,25,25,25,,,,,,7.95,4,10.719
carpk_00014,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,120,128,104,125,,,,,,7.95,4,10.797
carpk_00015,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,155,162,134,161,,,,,,7.95,4,10.454
carpk_00016,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,113,116,102,116,,,,,,7.95,4,10.492
carpk_00017,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,73,73,69,72,,,,,,7.95,4,10.648
carpk_00018,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,69,73,62,73,,,,,,7.95,4,10.485
carpk_00019,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,118,123,116,121,,,,,,7.95,4,10.794
carpk_00020,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,157,160,142,159,,,,,,7.95,4,10.516
carpk_00021,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,113,120,104,118,,,,,,7.95,4,10.765
carpk_00022,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,9,12,12,11,,,,,,7.95,4,10.168
carpk_00023,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,126,129,115,128,,,,,,7.95,4,10.608
carpk_00024,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,155,163,128,161,,,,,,7.95,4,10.883
carpk_00025,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,155,160,137,156,,,,,,7.95,4,10.658
carpk_00026,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,118,125,111,124,,,,,,7.95,4,11.378
carpk_00027,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,129,133,120,133,,,,,,7.95,4,12.33
carpk_00028,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,82,85,68,84,,,,,,7.95,4,10.235
carpk_00029,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,116,124,114,123,,,,,,7.95,4,10.81
carpk_00030,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,158,163,140,161,,,,,,7.95,4,10.32
carpk_00031,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,115,123,112,117,,,,,,7.95,4,11.597
carpk_00032,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,145,155,123,152,,,,,,7.95,4,12.042
carpk_00033,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,73,74,66,71,,,,,,7.95,4,10.6
carpk_00034,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,95,100,87,100,,,,,,7.95,4,10.912
carpk_00035,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,104,113,106,111,,,,,,7.95,4,10.783
carpk_00036,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,114,117,110,116,,,,,,7.95,4,10.933
carpk_00037,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,151,161,138,159,,,,,,7.95,4,12.443
carpk_00038,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,142,146,123,143,,,,,,7.95,4,12.21
carpk_00039,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,85,89,71,88,,,,,,7.95,4,12.425
carpk_00040,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,167,181,159,177,,,,,,9.0,5,12.306
carpk_00041,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,73,75,68,72,,,,,,7.95,4,11.103
carpk_00042,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,99,108,95,105,,,,,,12.15,8,17.308
carpk_00043,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,141,146,133,145,,,,,,7.95,4,10.592
carpk_00044,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,123,131,123,127,,,,,,7.95,4,10.251
carpk_00045,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,120,124,113,121,,,,,,7.95,4,10.517
carpk_00046,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,53,56,45,54,,,,,,7.95,4,10.44
carpk_00047,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,6,6,6,6,,,,,,7.95,4,10.572
carpk_00048,carpk,vlm,ioc+iom_only+dedup-iom0.85+nocanopy+ftile,car,143,151,121,150,,,,,,7.95,4,10.768
